time,pos,vel,ace
0,0,-4.97649e-17,1.66627
0.004,1.333e-05,0.00666494,1.6662
0.008,5.33191e-05,0.0133296,1.66612
0.012,0.000119966,0.0199939,1.66605
0.016,0.00021327,0.026658,1.66598
0.02,0.00033323,0.0333218,1.66591
0.024,0.000479844,0.0399852,1.66583
0.028,0.000653111,0.0466484,1.66576
0.032,0.000853031,0.0533113,1.66569
0.036,0.0010796,0.0599739,1.66561
0.04,0.00133282,0.0666362,1.66554
0.044,0.00161269,0.0732983,1.66547
0.048,0.00191921,0.07996,1.6654
0.052,0.00225237,0.0866214,1.66532
0.056,0.00261218,0.0932826,1.66525
0.06,0.00299863,0.0999434,1.66518
0.064,0.00341173,0.106604,1.6651
0.068,0.00385146,0.113264,1.66503
0.072,0.00431784,0.119924,1.66496
0.076,0.00481086,0.126584,1.66489
0.08,0.00533051,0.133243,1.66481
0.084,0.0058768,0.139902,1.66474
0.088,0.00644973,0.146561,1.66467
0.092,0.00704929,0.15322,1.66459
0.096,0.00767549,0.159878,1.66452
0.1,0.00832832,0.166536,1.66445
0.104,0.00900777,0.173194,1.66437
0.108,0.00971386,0.179851,1.6643
0.112,0.0104466,0.186508,1.66423
0.116,0.0112059,0.193165,1.66416
0.12,0.0119919,0.199821,1.66408
0.124,0.0128045,0.206477,1.66401
0.128,0.0136437,0.213133,1.66394
0.132,0.0145096,0.219789,1.66386
0.136,0.015402,0.226444,1.66379
0.14,0.0163211,0.233099,1.66372
0.144,0.0172668,0.239754,1.66365
0.148,0.0182391,0.246408,1.66357
0.152,0.0192381,0.253063,1.6635
0.156,0.0202636,0.259716,1.66343
0.16,0.0213158,0.26637,1.66335
0.164,0.0223946,0.273023,1.66328
0.168,0.0235,0.279676,1.66321
0.172,0.024632,0.286329,1.66313
0.176,0.0257906,0.292981,1.66306
0.18,0.0269759,0.299633,1.66299
0.184,0.0281877,0.306285,1.66292
0.188,0.0294261,0.312937,1.66284
0.192,0.0306912,0.319588,1.66277
0.196,0.0319829,0.326239,1.6627
0.2,0.0333011,0.33289,1.66262
0.204,0.034646,0.33954,1.66255
0.208,0.0360174,0.34619,1.66248
0.212,0.0374155,0.35284,1.66241
0.216,0.0388401,0.359489,1.66233
0.22,0.0402914,0.366138,1.66226
0.224,0.0417693,0.372787,1.66219
0.228,0.0432737,0.379436,1.66211
0.232,0.0448047,0.386084,1.66204
0.236,0.0463624,0.392732,1.66197
0.24,0.0479466,0.39938,1.6619
0.244,0.0495574,0.406027,1.66182
0.248,0.0511948,0.412675,1.66175
0.252,0.0528588,0.419321,1.66168
0.256,0.0545494,0.425968,1.6616
0.26,0.0562665,0.432614,1.66153
0.264,0.0580103,0.43926,1.66146
0.268,0.0597806,0.445906,1.66138
0.272,0.0615775,0.452551,1.66131
0.276,0.063401,0.459196,1.66124
0.28,0.0652511,0.465841,1.66117
0.284,0.0671278,0.472486,1.66109
0.288,0.069031,0.47913,1.66102
0.292,0.0709608,0.485774,1.66095
0.296,0.0729172,0.492417,1.66087
0.3,0.0749001,0.499061,1.6608
0.304,0.0769097,0.505704,1.66073
0.308,0.0789458,0.512347,1.66066
0.312,0.0810084,0.518989,1.66058
0.316,0.0830977,0.525631,1.66051
0.32,0.0852135,0.532273,1.66044
0.324,0.0873559,0.538915,1.66036
0.328,0.0895248,0.545556,1.66029
0.332,0.0917203,0.552197,1.66022
0.336,0.0939424,0.558838,1.66014
0.34,0.096191,0.565478,1.66007
0.344,0.0984662,0.572118,1.66
0.348,0.100768,0.578758,1.65993
0.352,0.103096,0.585398,1.65985
0.356,0.105451,0.592037,1.65978
0.36,0.107833,0.598676,1.65971
0.364,0.110241,0.605315,1.65963
0.368,0.112675,0.611953,1.65956
0.372,0.115136,0.618591,1.65949
0.376,0.117624,0.625229,1.65942
0.38,0.120138,0.631867,1.65934
0.384,0.122679,0.638504,1.65927
0.388,0.125246,0.645141,1.6592
0.392,0.12784,0.651777,1.65912
0.396,0.13046,0.658414,1.65905
0.4,0.133107,0.66505,1.65898
0.404,0.135781,0.671686,1.65891
0.408,0.138481,0.678321,1.65883
0.412,0.141207,0.684956,1.65876
0.416,0.14396,0.691591,1.65869
0.42,0.14674,0.698226,1.65861
0.424,0.149546,0.70486,1.65828
0.428,0.152379,0.711491,1.65722
0.432,0.155238,0.718118,1.65616
0.436,0.158124,0.72474,1.6551
0.44,0.161036,0.731358,1.65403
0.444,0.163975,0.737972,1.65297
0.448,0.16694,0.744582,1.65191
0.452,0.169931,0.751188,1.65085
